rang,ville,departement,region,population,score_global,vie,securite,cout,transport,nature,culture,ecoles,teletravail,fiche
1,"Obernai","Bas-Rhin","Grand Est",11500,8.40,9.0,8.6,6.3,6.4,7.1,8.7,9.0,7.5,"https://www.mavilleideale.fr/villes/obernai"
2,"Fontainebleau","Seine-et-Marne","Île-de-France",25000,7.90,8.7,8.1,4.6,6.4,8.5,7.8,8.7,7.5,"https://www.mavilleideale.fr/villes/fontainebleau"
3,"Amboise","Indre-et-Loire","Centre-Val de Loire",14000,7.90,8.7,7.5,6.7,5.6,7.1,9.0,7.7,7.5,"https://www.mavilleideale.fr/villes/amboise"
4,"Autun","Saône-et-Loire","Bourgogne-Franche-Comté",14000,7.80,6.8,8.1,8.5,4.9,7.8,9.0,6.6,7.5,"https://www.mavilleideale.fr/villes/autun"
5,"Le Puy-en-Velay","Haute-Loire","Auvergne-Rhône-Alpes",19000,7.70,7.8,8.1,7.6,4.2,8.5,8.7,7.7,6.3,"https://www.mavilleideale.fr/villes/le-puy-en-velay"
6,"Senlis","Oise","Hauts-de-France",16000,7.70,7.8,7.5,6.3,6.4,6.4,7.8,8.7,8.8,"https://www.mavilleideale.fr/villes/senlis"
7,"Gex","Ain","Auvergne-Rhône-Alpes",13000,7.70,7.8,8.1,5.4,6.4,7.8,5.1,9.0,9.0,"https://www.mavilleideale.fr/villes/gex"
8,"Saint-Rémy-de-Provence","Bouches-du-Rhône","Provence-Alpes-Côte d'Azur",11000,7.70,9.0,6.1,4.7,4.9,8.5,9.0,8.7,7.5,"https://www.mavilleideale.fr/villes/saint-remy-de-provence"
9,"Beaune","Côte-d'Or","Bourgogne-Franche-Comté",22000,7.70,8.7,8.1,5.0,5.6,6.4,9.0,7.7,7.5,"https://www.mavilleideale.fr/villes/beaune"
10,"Anglet","Pyrénées-Atlantiques","Nouvelle-Aquitaine",38000,7.60,8.7,7.2,4.5,7.7,7.8,6.6,8.7,7.5,"https://www.mavilleideale.fr/villes/anglet"
11,"Carnac","Morbihan","Bretagne",4400,7.60,8.7,8.8,5.4,4.2,8.5,7.8,6.6,6.3,"https://www.mavilleideale.fr/villes/carnac"
12,"Île de Ré","Charente-Maritime","Nouvelle-Aquitaine",18000,7.60,9.0,8.6,3.7,4.2,8.5,7.8,8.7,8.8,"https://www.mavilleideale.fr/villes/ile-de-re"
13,"Saverne","Bas-Rhin","Grand Est",12000,7.60,7.8,8.1,6.7,5.6,7.8,7.8,7.7,7.5,"https://www.mavilleideale.fr/villes/saverne"
14,"Chinon","Indre-et-Loire","Centre-Val de Loire",8200,7.60,7.8,8.1,7.6,4.2,7.8,9.0,6.6,7.5,"https://www.mavilleideale.fr/villes/chinon"
15,"Villefranche-de-Rouergue","Aveyron","Occitanie",12000,7.60,6.8,8.8,7.6,4.2,7.8,8.7,6.6,7.5,"https://www.mavilleideale.fr/villes/villefranche-de-rouergue"
16,"Strasbourg","Bas-Rhin","Grand Est",284677,7.50,7.2,5.3,5.6,9.0,5.6,9.0,8.7,7.8,"https://www.mavilleideale.fr/villes/strasbourg"
17,"Vaison-la-Romaine","Vaucluse","Provence-Alpes-Côte d'Azur",6200,7.50,8.7,7.4,7.2,3.4,7.8,9.0,6.6,8.8,"https://www.mavilleideale.fr/villes/vaison-la-romaine"
18,"Pontarlier","Doubs","Bourgogne-Franche-Comté",18000,7.50,7.8,8.1,6.7,5.6,8.5,5.1,7.7,7.5,"https://www.mavilleideale.fr/villes/pontarlier"
19,"Fontenay-le-Comte","Vendée","Pays de la Loire",14000,7.50,7.4,8.8,7.6,4.2,7.8,7.8,6.6,7.5,"https://www.mavilleideale.fr/villes/fontenay-le-comte"
20,"Rennes","Ille-et-Vilaine","Bretagne",221272,7.40,7.6,5.9,5.7,8.1,5.6,7.3,9.0,9.0,"https://www.mavilleideale.fr/villes/rennes"
21,"Les Sables-d'Olonne","Vendée","Pays de la Loire",46000,7.40,7.8,8.0,5.4,6.2,8.5,6.6,7.7,6.3,"https://www.mavilleideale.fr/villes/les-sables-d-olonne"
22,"Dinan","Côtes-d'Armor","Bretagne",15000,7.40,7.8,8.7,7.2,4.2,7.1,8.7,6.6,5.1,"https://www.mavilleideale.fr/villes/dinan"
23,"Vitré","Ille-et-Vilaine","Bretagne",17000,7.40,6.8,8.5,7.6,5.6,6.4,7.8,7.7,6.3,"https://www.mavilleideale.fr/villes/vitre"
24,"Dinard","Ille-et-Vilaine","Bretagne",11000,7.40,8.7,8.0,5.9,4.9,7.8,6.9,6.6,7.5,"https://www.mavilleideale.fr/villes/dinard"
25,"Albertville","Savoie","Auvergne-Rhône-Alpes",19000,7.40,6.8,8.0,6.3,6.4,8.5,6.0,7.7,7.5,"https://www.mavilleideale.fr/villes/albertville"
26,"Vendôme","Loir-et-Cher","Centre-Val de Loire",17000,7.40,6.8,7.5,7.6,7.1,6.4,6.9,6.6,9.0,"https://www.mavilleideale.fr/villes/vendome"
27,"Paray-le-Monial","Saône-et-Loire","Bourgogne-Franche-Comté",8500,7.40,6.4,8.6,8.5,4.2,7.1,8.7,5.5,6.3,"https://www.mavilleideale.fr/villes/paray-le-monial"
28,"Gérardmer","Vosges","Grand Est",8900,7.40,8.7,8.6,6.8,3.4,8.5,6.0,6.6,8.8,"https://www.mavilleideale.fr/villes/gerardmer"
29,"Annecy","Haute-Savoie","Auvergne-Rhône-Alpes",131282,7.30,9.0,7.3,3.1,6.4,8.9,6.6,8.7,8.8,"https://www.mavilleideale.fr/villes/annecy"
30,"Lannion","Côtes-d'Armor","Bretagne",20000,7.30,7.4,8.2,7.6,4.9,7.1,6.0,7.7,7.5,"https://www.mavilleideale.fr/villes/lannion"
31,"Quiberon","Morbihan","Bretagne",4500,7.30,9.0,8.8,5.0,3.4,8.5,6.9,6.6,7.5,"https://www.mavilleideale.fr/villes/quiberon"
32,"Biscarrosse","Landes","Nouvelle-Aquitaine",14000,7.30,8.7,8.1,5.9,4.2,8.5,5.1,7.7,6.3,"https://www.mavilleideale.fr/villes/biscarrosse"
33,"Sisteron","Alpes-de-Haute-Provence","Provence-Alpes-Côte d'Azur",7500,7.30,7.8,8.1,7.6,4.9,7.8,6.9,6.6,5.1,"https://www.mavilleideale.fr/villes/sisteron"
34,"Valbonne","Alpes-Maritimes","Provence-Alpes-Côte d'Azur",13000,7.30,8.7,7.7,3.2,6.4,7.1,7.8,9.0,9.0,"https://www.mavilleideale.fr/villes/valbonne"
35,"Céret","Pyrénées-Orientales","Occitanie",7800,7.30,8.7,6.7,6.3,4.2,7.8,8.7,6.6,6.3,"https://www.mavilleideale.fr/villes/ceret"
36,"Saint-Dié-des-Vosges","Vosges","Grand Est",20000,7.30,5.9,7.5,8.5,4.9,8.5,6.9,6.6,7.5,"https://www.mavilleideale.fr/villes/saint-die-des-vosges"
37,"Villefranche-sur-Saône","Rhône","Auvergne-Rhône-Alpes",37000,7.30,7.4,6.3,5.9,7.0,5.7,7.5,8.7,8.8,"https://www.mavilleideale.fr/villes/villefranche-sur-saone"
38,"Semur-en-Auxois","Côte-d'Or","Bourgogne-Franche-Comté",4200,7.30,7.4,8.6,8.5,3.4,7.8,8.7,5.5,6.3,"https://www.mavilleideale.fr/villes/semur-en-auxois"
39,"Guebwiller","Haut-Rhin","Grand Est",10800,7.30,7.8,8.1,6.7,4.9,7.1,6.9,7.7,7.5,"https://www.mavilleideale.fr/villes/guebwiller"
40,"La Rochelle","Charente-Maritime","Nouvelle-Aquitaine",76348,7.20,8.1,6.5,4.6,7.0,7.2,6.9,7.4,8.8,"https://www.mavilleideale.fr/villes/la-rochelle"
41,"Sanary-sur-Mer","Var","Provence-Alpes-Côte d'Azur",17000,7.20,8.7,7.5,4.7,5.6,7.1,6.9,7.7,7.5,"https://www.mavilleideale.fr/villes/sanary-sur-mer"
42,"Tulle","Corrèze","Nouvelle-Aquitaine",15000,7.20,6.8,8.1,8.0,4.9,7.8,6.0,5.5,7.5,"https://www.mavilleideale.fr/villes/tulle"
43,"Parthenay","Deux-Sèvres","Nouvelle-Aquitaine",10000,7.20,6.8,8.6,8.0,4.2,7.1,7.8,5.5,7.5,"https://www.mavilleideale.fr/villes/parthenay"
